Harga Pangan di Tingkat Produsen Provinsi,,,,,
,,,,,
Kode Provinsi,Nama Provinsi,Komoditas,Tahun,Bulan,Harga
52,Nusa Tenggara Barat,Telur Ayam Ras,2023,Januari,-
53,Nusa Tenggara Timur,Telur Ayam Ras,2023,Januari,Rp25.171
61,Kalimantan Barat,Telur Ayam Ras,2023,Januari,Rp27.292
62,Kalimantan Tengah,Telur Ayam Ras,2023,Januari,-
63,Kalimantan Selatan,Telur Ayam Ras,2023,Januari,Rp26.909
71,Sulawesi Utara,Telur Ayam Ras,2023,Januari,Rp23.115
72,Sulawesi Tengah,Telur Ayam Ras,2023,Januari,-
73,Sulawesi Selatan,Telur Ayam Ras,2023,Januari,Rp23.954
74,Sulawesi Tenggara,Telur Ayam Ras,2023,Januari,-
75,Gorontalo,Telur Ayam Ras,2023,Januari,-
76,Sulawesi Barat,Telur Ayam Ras,2023,Januari,-
11,Aceh,GKP Tk. Petani,2023,Februari,Rp5.764
12,Sumatera Utara,GKP Tk. Petani,2023,Februari,Rp5.685
13,Sumatera Barat,GKP Tk. Petani,2023,Februari,Rp6.643
14,Riau,GKP Tk. Petani,2023,Februari,-
15,Jambi,GKP Tk. Petani,2023,Februari,Rp5.226
16,Sumatera Selatan,GKP Tk. Petani,2023,Februari,Rp5.252
17,Bengkulu,GKP Tk. Petani,2023,Februari,-
18,Lampung,GKP Tk. Petani,2023,Februari,Rp5.196
32,Jawa Barat,GKP Tk. Petani,2023,Februari,Rp5.280
33,Jawa Tengah,GKP Tk. Petani,2023,Februari,Rp5.561
34,D.I Yogyakarta,GKP Tk. Petani,2023,Februari,Rp5.247
35,Jawa Timur,GKP Tk. Petani,2023,Februari,Rp5.378
36,Banten,GKP Tk. Petani,2023,Februari,Rp5.027
51,Bali,GKP Tk. Petani,2023,Februari,Rp5.218
52,Nusa Tenggara Barat,GKP Tk. Petani,2023,Februari,Rp4.893
53,Nusa Tenggara Timur,GKP Tk. Petani,2023,Februari,Rp5.400
61,Kalimantan Barat,GKP Tk. Petani,2023,Februari,Rp4.962
62,Kalimantan Tengah,GKP Tk. Petani,2023,Februari,Rp5.708
63,Kalimantan Selatan,GKP Tk. Petani,2023,Februari,Rp5.526
71,Sulawesi Utara,GKP Tk. Petani,2023,Februari,-
